"FONDO","CONCURSO","ANIO","CONTRATO","TITULO","FECHA_INICIO","FECHA_FIN","NOMBRE_SOLICITANTE","DISTRITO","PROVINCIA","DEPARTAMENTO","UBIGEO","MONTO_RNR","MONTO_FINANCIERO","MONTO_NO_FINANCIERO","MONEDA","FECHA_CORTE"
"FINCYT I","PITEI",2007,"001-FINCYT-PITEI-2007","INNOVACION DE LA OFERTA EXPORTABLE DE OREGANO DESHIDRATADO DE LA EMPRESA AGROCAMSA",20071228,20120527,"AGROINDUSTRIAS CAMBAYA S.A.","ILABAYA","JORGE BASADRE","TACNA",230302,135400.0000,0.0000,137100.0000,"SOLES",20231030
"FINCYT I","PITEI",2007,"027-FINCYT-PITEI-2007","CULTIVO DE HAEMATOCOCCUS PLUVIALIS PARA LA PRODUCCION DE ASTAXANTINA EN BIOREACTORES RACEWAY",20071221,20101130,"ANDEXS  BIOTECHNOLOGY - S.R.L. - ANDEXS - S.R.L.","CERRO COLORADO","AREQUIPA","AREQUIPA",040104,33985.4100,1089.1500,41200.0000,"SOLES",20231030
"FINCYT I","PITEI",2008,"011-FINCYT-PITEI-2008","RED NACIONAL DE COMPARTIMIENTO DE INFORMACION MEDICA",20080325,20101229,"LOLIMSA CONSULTORIA DE SISTEMAS S.A.C.","SAN BORJA","LIMA","LIMA",150130,309000.0000,102557.8600,49242.1400,"SOLES",20231030
"FINCYT I","PITEI",2008,"012-FINCYT-PITEI-2008","SISTEMA DE GESTION DEL SERVICIO DE TAXI-TAXIMART",20080328,20101230,"DEVOS INC SAC","SAN MIGUEL","LIMA","LIMA",150136,107300.0000,0.0000,30200.0000,"SOLES",20231030
"FINCYT I","PITEI",2008,"006-FINCYT-PITEI-2008","CREACION DE UN CENTRO DE PRODUCCION DE EQUIPAMIENTO MEDICO",20080328,20101229,"LOLIMSA CONSULTORIA DE SISTEMAS S.A.C.","SAN BORJA","LIMA","LIMA",150130,308300.0000,124000.0000,36000.0000,"SOLES",20231030
"FINCYT I","PITEI",2008,"019-FINCYT-PITEI-2008","DOMESTICACION DE COMUNIDADES MICROBIANAS ASOCIADAS AL CULTIVO DE LANGOSTINO PARA LA REDUCCION DE ALIMENTO ARTIFICIAL\, MEJORAMIENTO DE LA CALIDAD DE AGUA Y PREVENCION DE BACTERIOSIS",20080331,20110902,"MARINAZUL S.A.","SANTIAGO DE SURCO","LIMA","LIMA",150140,268260.0000,0.0000,637668.0000,"SOLES",20231030
"FINCYT I","PITEI",2008,"022-FINCYT-PITEI-2008","RECUPERACION DE INFORMACION DOCUMENTAL E-ADMINISTRACION",20080328,20120616,"GLOBAL SYSTEM & CONSULTING SAC.","AREQUIPA","AREQUIPA","AREQUIPA",040101,170318.9300,0.0000,55540.0000,"SOLES",20231030
"FINCYT I","PITEI",2008,"016-FINCYT-PITEI-2008","REPRODUCCION EN CAUTIVERIO DE RAYAS (POTRAMOTRYGONIDAE) DE AGUA DULCE AMAZONICAS EN LA REGION LORETO",20080328,20111129,"NEOTROPICAL FAUNA EIRL","SAN JUAN BAUTISTA","MAYNAS","LORETO",160113,181635.2200,18700.0000,44100.0000,"SOLES",20231030
"FINCYT I","PITEI",2008,"034-FINCYT-PITEI-2008","FABRICACIÓN EN ESCALA PILOTO DE UN GEL REMOVEDOR DE CARIES DE MAYOR EFICIENCIA Y MENOR COSTO",20080604,20101231,"QUIMIVET S.R.L.","CERRO COLORADO","AREQUIPA","AREQUIPA",040104,126098.5700,24957.2000,2934.6900,"SOLES",20231030
"FINCYT I","PITEI",2008,"020-FINCYT-PITEI-2008","IMPLEMENTACION DE TECNOLOGIAS LIMPIAS PARA MEJORAR LA COMPETITIVIDAD CON METODOLOGIAS COSTO EFECTIVAS PARA LAS EMPRESAS DE HILANDERIA Y TINTORERIA DE LANA\, ALPACA Y MEZCLAS",20080318,20100629,"TEXTIL S & P S.R.L.","LIMA","LIMA","LIMA",150101,266216.3400,48620.0000,148800.0000,"SOLES",20231030
